time	ctime	crpm	ccrpm	cfr	ccfr	cmdl	cpx	cpy	cpz	cm	ct	csn	cbn	cls	clx	cly	clz	asprms	aaccrms	asoundrms	cut
211105 14:18:22.775	0.012	601.000000	600.000000	48.000000	8.000000	G01	64.718000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	6.749983	0.237173	0.009745	1	
211105 14:18:22.875	0.112	601.000000	600.000000	48.000000	8.000000	G01	64.718000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.079524	0.119684	0.008178	1	
211105 14:18:22.975	0.212	600.000000	600.000000	48.000000	8.000000	G01	64.206000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.580313	0.169663	0.007609	1	
211105 14:18:23.075	0.312	600.000000	600.000000	48.000000	8.000000	G01	64.206000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.686597	0.203490	0.007529	1	
211105 14:18:23.175	0.412	600.000000	600.000000	48.000000	8.000000	G01	64.206000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.714115	0.302239	0.007348	1	
211105 14:18:23.275	0.512	600.000000	600.000000	48.000000	8.000000	G01	64.206000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.617043	0.280852	0.007591	1	
211105 14:18:23.375	0.612	600.000000	600.000000	48.000000	8.000000	G01	63.643000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.593371	0.162517	0.007482	1	
211105 14:18:23.475	0.712	600.000000	600.000000	48.000000	8.000000	G01	63.643000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.795217	0.136893	0.007712	1	
211105 14:18:23.575	0.812	600.000000	600.000000	48.000000	8.000000	G01	63.643000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.788365	0.207091	0.007856	1	
211105 14:18:23.675	0.912	601.000000	600.000000	48.000000	8.000000	G01	63.130000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.784649	0.153977	0.008021	1	
211105 14:18:23.775	1.012	601.000000	600.000000	48.000000	8.000000	G01	63.130000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.648687	0.156467	0.008030	1	
211105 14:18:23.875	1.112	601.000000	600.000000	48.000000	8.000000	G01	63.130000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.577777	0.138265	0.008161	1	
211105 14:18:23.975	1.212	600.000000	600.000000	48.000000	8.000000	G01	62.669000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.782496	0.225698	0.008176	1	
211105 14:18:24.075	1.312	600.000000	600.000000	48.000000	8.000000	G01	62.669000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.821810	0.248484	0.008159	1	
211105 14:18:24.175	1.412	600.000000	600.000000	48.000000	8.000000	G01	62.669000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.674859	0.404864	0.008331	1	
211105 14:18:24.275	1.512	601.000000	600.000000	48.000000	8.000000	G01	62.208000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.542085	0.321761	0.008560	1	
211105 14:18:24.375	1.612	601.000000	600.000000	48.000000	8.000000	G01	62.208000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.635755	0.169885	0.008384	1	
211105 14:18:24.475	1.712	601.000000	600.000000	48.000000	8.000000	G01	62.208000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.657061	0.150661	0.008267	1	
211105 14:18:24.575	1.812	601.000000	600.000000	48.000000	8.000000	G01	61.696000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.808595	0.141348	0.008387	1	
211105 14:18:24.675	1.912	601.000000	600.000000	48.000000	8.000000	G01	61.696000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.673618	0.154574	0.008506	1	
211105 14:18:24.775	2.012	601.000000	600.000000	48.000000	8.000000	G01	61.696000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.722999	0.239091	0.008626	1	
211105 14:18:24.875	2.112	601.000000	600.000000	48.000000	8.000000	G01	61.235000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.690648	0.197994	0.008220	1	
211105 14:18:24.975	2.212	601.000000	600.000000	48.000000	8.000000	G01	61.235000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.694905	0.233858	0.008431	1	
211105 14:18:25.075	2.312	601.000000	600.000000	48.000000	8.000000	G01	61.235000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.764664	0.131921	0.008077	1	
211105 14:18:25.175	2.412	600.000000	600.000000	48.000000	8.000000	G01	60.723000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.534996	0.128646	0.008203	1	
211105 14:18:25.275	2.512	600.000000	600.000000	48.000000	8.000000	G01	60.723000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.609106	0.158998	0.008287	1	
211105 14:18:25.375	2.612	600.000000	600.000000	48.000000	8.000000	G01	60.723000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.728648	0.151580	0.008169	1	
211105 14:18:25.475	2.712	600.000000	600.000000	48.000000	8.000000	G01	60.211000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	2.000000	0.000000	0.000000	0.000000	7.778806	0.182040	0.008038	1	
211105 14:18:25.575	2.812	600.000000	600.000000	48.000000	8.000000	G01	60.211000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	2.000000	0.000000	0.000000	0.000000	7.697623	0.169291	0.008116	1	
211105 14:18:25.675	2.912	600.000000	600.000000	48.000000	8.000000	G01	60.211000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	2.000000	0.000000	0.000000	0.000000	7.474672	0.233229	0.008121	1	
211105 14:18:25.775	3.012	600.000000	600.000000	48.000000	8.000000	G01	59.750000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.658444	0.238896	0.008167	1	
211105 14:18:25.875	3.112	600.000000	600.000000	48.000000	8.000000	G01	59.750000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.717860	0.243002	0.008198	1	
211105 14:18:25.975	3.212	600.000000	600.000000	48.000000	8.000000	G01	59.750000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.729638	0.249098	0.008045	1	
211105 14:18:26.075	3.312	601.000000	600.000000	48.000000	8.000000	G01	59.289000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.739310	0.133931	0.008090	1	
211105 14:18:26.175	3.412	601.000000	600.000000	48.000000	8.000000	G01	59.289000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.402982	0.130888	0.007957	1	
211105 14:18:26.275	3.512	601.000000	600.000000	48.000000	8.000000	G01	59.289000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.573098	0.184030	0.008003	1	
211105 14:18:26.375	3.612	600.000000	600.000000	48.000000	8.000000	G01	58.777000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.628338	0.199361	0.007662	1	
211105 14:18:26.475	3.712	600.000000	600.000000	48.000000	8.000000	G01	58.777000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.746498	0.184336	0.007549	1	
211105 14:18:26.575	3.812	600.000000	600.000000	48.000000	8.000000	G01	58.777000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.660616	0.322808	0.007535	1	
211105 14:18:26.675	3.912	600.000000	600.000000	48.000000	8.000000	G01	58.264000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.415747	0.355333	0.007650	1	
211105 14:18:26.775	4.012	600.000000	600.000000	48.000000	8.000000	G01	58.264000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.590075	0.154665	0.007688	1	
211105 14:18:26.875	4.112	600.000000	600.000000	48.000000	8.000000	G01	58.264000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.533868	0.112469	0.007732	1	
211105 14:18:26.975	4.212	600.000000	600.000000	48.000000	8.000000	G01	58.264000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.780730	0.117177	0.007468	1	
211105 14:18:27.075	4.312	600.000000	600.000000	48.000000	8.000000	G01	57.752000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.725870	0.141193	0.007675	1	
211105 14:18:27.175	4.412	600.000000	600.000000	48.000000	8.000000	G01	57.752000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.530256	0.113148	0.007611	1	
211105 14:18:27.275	4.512	600.000000	600.000000	48.000000	8.000000	G01	57.752000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.456951	0.137117	0.007786	1	
211105 14:18:27.375	4.612	600.000000	600.000000	48.000000	8.000000	G01	57.291000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.513852	0.137789	0.007912	1	
211105 14:18:27.475	4.712	600.000000	600.000000	48.000000	8.000000	G01	57.291000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.748052	0.143969	0.007935	1	
211105 14:18:27.575	4.812	600.000000	600.000000	48.000000	8.000000	G01	57.291000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.681759	0.287094	0.007605	1	
211105 14:18:27.675	4.912	600.000000	600.000000	48.000000	8.000000	G01	56.830000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.480003	0.225741	0.007802	1	
211105 14:18:27.775	5.012	600.000000	600.000000	48.000000	8.000000	G01	56.830000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.558300	0.215608	0.007714	1	
211105 14:18:27.875	5.112	600.000000	600.000000	48.000000	8.000000	G01	56.318000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.531563	0.198237	0.007969	1	
211105 14:18:27.975	5.212	600.000000	600.000000	48.000000	8.000000	G01	56.318000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.701977	0.152380	0.007606	1	
211105 14:18:28.075	5.312	600.000000	600.000000	48.000000	8.000000	G01	56.318000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.653707	0.161350	0.007791	1	
211105 14:18:28.175	5.412	600.000000	600.000000	48.000000	8.000000	G01	56.318000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.532955	0.106365	0.007796	1	
211105 14:18:28.275	5.512	601.000000	600.000000	48.000000	8.000000	G01	55.806000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.601115	0.302352	0.007581	1	
211105 14:18:28.375	5.612	601.000000	600.000000	48.000000	8.000000	G01	55.806000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.561737	0.303198	0.007687	1	
211105 14:18:28.475	5.712	601.000000	600.000000	48.000000	8.000000	G01	55.806000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.615466	0.147814	0.007462	1	
211105 14:18:28.575	5.812	600.000000	600.000000	48.000000	8.000000	G01	55.345000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.488040	0.119931	0.007451	1	
211105 14:18:28.675	5.912	600.000000	600.000000	48.000000	8.000000	G01	55.345000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.512558	0.359142	0.007737	1	
211105 14:18:28.775	6.012	600.000000	600.000000	48.000000	8.000000	G01	55.345000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	3.000000	0.000000	0.000000	0.000000	7.591453	0.270018	0.007891	1	
